Município,Equipes Abril/2007,Equipes Abril/2010,Equipes Abril/2013,Equipes Abril/2016,Equipes Abril/2019,Equipes Abril/2020,Equipes Abril/2021,Equipes Abril/2022,Equipes Abril/2023,população 2021,população 2020,população 2019,população 2016,população 2013,população 2010,população 2007,Qtd de UBS 2007,Qtd de UBS 2010,Qtd de UBS 2013,Qtd de UBS 2016,Qtd de UBS 2019,Qtd de UBS 2020,Qtd de UBS 2021,Qtd de UBS 2022,Qtd de UBS 2023
292910 SAO FELIPE,4,5,6,7,7,7,13,13,13,21.083,21.080,21.074,21.057,21.039,21.021,21.001,5,5,5,6,6,6,6,6,6
292920 SAO FRANCISCO DO CONDE,5,12,13,14,16,16,31,31,32,40.664,40.245,39.802,38.392,36.972,35.414,33.752,5,13,14,15,17,17,17,17,17
292925 SAO GABRIEL,-,1,1,2,2,1,2,2,2,18.785,18.789,18.793,18.806,18.819,18.833,18.849,4,1,1,1,1,1,2,2,1
292930 SAO GONCALO DOS CAMPOS,5,11,12,13,13,13,24,24,24,38.315,37.942,37.550,36.301,35.042,33.662,32.190,8,10,11,11,11,11,12,12,12
292935 SAO JOSE DA VITORIA,1,1,1,2,3,3,5,6,6,5.562,5.608,5.657,5.813,5.972,6.146,6.331,1,1,1,1,4,4,4,4,4
292937 SAO JOSE DO JACUIPE,3,3,4,4,5,5,9,9,9,10.546,10.505,10.462,10.323,10.184,10.030,9.866,2,2,4,4,6,6,6,6,6
292940 SAO MIGUEL DAS MATAS,3,4,4,4,4,4,8,8,9,11.733,11.704,11.675,11.581,11.485,11.382,11.270,6,4,4,4,3,3,4,3,5
292950 SAO SEBASTIAO DO PASSE,11,14,13,12,16,16,27,28,28,44.554,44.430,44.300,43.886,43.469,43.012,42.524,12,14,13,12,16,16,16,16,16
292960 SAPEACU,6,7,8,8,9,9,16,17,14,17.421,17.409,17.398,17.363,17.327,17.288,17.246,8,8,8,8,8,8,8,8,7
292970 SATIRO DIAS,-,5,4,7,8,6,12,13,12,17.330,17.302,17.273,17.181,17.088,16.985,16.876,4,5,5,6,6,6,6,6,6
292975 SAUBARA,3,2,3,3,4,5,7,7,8,12.163,12.105,12.043,11.845,11.647,11.429,11.197,3,3,3,3,4,6,6,6,6
292980 SAUDE,2,2,4,4,5,5,9,9,10,12.971,12.943,12.913,12.821,12.728,12.625,12.515,3,1,4,4,6,6,6,5,5
292990 SEABRA,-,6,8,8,9,10,17,17,19,44.370,44.234,44.091,43.635,43.175,42.673,42.136,4,7,7,7,7,7,7,7,8
293000 SEBASTIAO LARANJEIRAS,4,4,5,6,6,6,9,11,12,11.586,11.512,11.434,11.184,10.932,10.656,10.362,3,3,4,5,5,5,5,5,5
293010 SENHOR DO BONFIM,8,12,13,16,16,17,30,30,30,79.813,79.424,79.015,77.714,76.402,74.964,73.428,10,11,13,15,15,16,19,19,19
293015 SERRA DO RAMALHO,-,2,1,1,1,1,1,1,2,31.362,31.416,31.472,31.651,31.833,32.031,32.243,1,1,1,1,1,1,1,1,1
293020 SENTO SE,3,4,6,9,12,12,13,13,14,41.279,40.989,40.684,39.713,38.734,37.662,36.516,1,2,4,5,6,6,6,8,8
293030 SERRA DOURADA,1,1,5,6,4,4,6,3,16,17.261,17.321,17.386,17.587,17.792,18.015,18.254,1,1,5,5,3,3,3,2,8
293040 SERRA PRETA,-,7,7,7,8,8,12,14,14,14.531,14.699,14.878,15.442,16.012,16.637,17.303,7,8,8,8,8,8,9,8,8
293050 SERRINHA,8,14,17,23,23,25,36,36,37,81.693,81.286,80.861,79.500,78.129,76.624,75.022,6,11,14,14,17,19,20,20,21
293060 SERROLANDIA,-,1,2,2,2,5,9,9,10,13.490,13.446,13.397,13.244,13.091,12.922,12.743,2,1,2,2,2,5,6,6,6
293070 SIMOES FILHO,7,18,18,20,20,23,47,47,48,137.117,135.783,134.377,129.905,125.396,120.453,115.179,12,14,15,15,16,17,19,19,19
293075 SITIO DO MATO,-,7,7,7,7,7,10,11,11,13.104,13.059,13.012,12.865,12.714,12.551,12.375,5,6,6,6,6,6,6,6,6
293076 SITIO DO QUINTO,1,5,3,5,6,6,10,11,11,9.431,9.701,9.986,10.893,11.807,12.809,13.879,5,5,4,5,5,5,6,5,5
293077 SOBRADINHO,-,9,9,9,10,7,14,14,14,23.274,23.233,23.191,23.054,22.915,22.764,22.603,3,8,8,8,8,7,8,8,8
293080 SOUTO SOARES,3,4,5,6,5,5,10,10,10,17.118,17.050,16.979,16.754,16.527,16.277,16.011,4,6,8,8,9,7,8,8,8
293090 TABOCAS DO BREJO VELHO,5,2,2,2,2,2,3,3,3,12.515,12.516,12.518,12.519,12.519,12.521,12.523,6,2,2,2,1,1,1,1,1
293100 TANHACU,3,8,8,8,9,9,14,16,17,20.383,20.393,20.403,20.440,20.475,20.515,20.557,6,9,8,8,8,8,9,8,9
293105 TANQUE NOVO,-,6,6,8,8,9,17,17,17,17.518,17.443,17.366,17.118,16.867,16.594,16.298,4,6,6,7,8,8,9,9,9
293110 TANQUINHO,2,2,3,4,4,4,6,6,6,7.936,7.928,7.918,7.888,7.858,7.825,7.790,2,2,3,3,3,3,4,4,4
293120 TAPEROA,4,5,4,7,9,9,11,11,11,21.421,21.253,21.074,20.509,19.939,19.314,18.646,5,6,6,7,7,7,7,8,8
293130 TAPIRAMUTA,3,5,5,6,6,6,11,11,11,16.939,16.974,17.010,17.122,17.238,17.363,17.497,4,5,5,5,5,5,5,5,5
293135 TEIXEIRA DE FREITAS,1,37,35,46,47,49,75,76,76,164.290,162.438,160.487,154.279,148.022,141.160,133.839,36,37,35,40,42,43,44,44,44
293140 TEODORO SAMPAIO,1,4,4,4,4,4,8,8,8,7.296,7.359,7.425,7.633,7.844,8.076,8.322,4,5,5,5,4,4,4,4,4
293150 TEOFILANDIA,1,3,5,3,3,3,15,16,18,22.590,22.555,22.518,22.400,22.282,22.153,22.014,2,3,4,3,3,3,9,10,12
293160 TEOLANDIA,4,5,5,6,6,6,11,13,14,15.097,15.022,14.943,14.693,14.440,14.163,13.869,4,5,5,6,6,6,6,7,7
293170 TERRA NOVA,3,4,5,5,5,5,10,10,10,13.018,13.025,13.033,13.059,13.085,13.112,13.143,3,4,5,5,5,5,5,5,5
293180 TREMEDAL,2,6,6,7,7,8,14,15,15,15.996,16.189,16.394,17.046,17.703,18.425,19.190,2,7,7,8,9,9,9,9,11
293190 TUCANO,11,13,13,17,19,16,23,28,29,50.903,50.798,50.687,50.330,49.972,49.579,49.161,12,14,14,19,19,19,19,18,18
293200 UAUA,5,1,1,1,2,2,2,2,2,23.991,24.113,24.240,24.642,25.049,25.494,25.970,5,1,1,1,3,3,3,3,3
293210 UBAIRA,3,4,4,7,7,7,12,12,12,19.860,19.877,19.895,19.950,20.004,20.067,20.129,3,3,3,6,6,6,6,6,6
293220 UBAITABA,4,4,4,4,6,7,11,15,15,18.647,18.847,19.056,19.723,20.396,21.133,21.920,5,5,4,4,5,6,6,8,8
293230 UBATA,3,3,6,7,8,8,11,11,11,27.481,27.263,27.035,26.306,25.572,24.768,23.908,2,2,6,6,7,7,7,7,7
293240 UIBAI,-,-,3,6,6,6,11,11,11,13.894,13.891,13.887,13.877,13.866,13.855,13.843,2,-,2,5,5,5,5,5,5
293245 UMBURANAS,-,5,5,5,6,6,12,15,15,19.573,19.402,19.222,18.648,18.071,17.436,16.761,4,4,5,3,5,5,5,6,7
293250 UNA,-,7,8,9,11,11,20,21,21,18.108,18.544,19.002,20.466,21.942,23.560,25.285,7,6,7,8,10,10,10,10,10
293260 URANDI,-,-,1,1,3,3,6,6,6,16.672,16.665,16.658,16.637,16.615,16.592,16.567,1,-,1,1,2,2,2,2,2
293270 URUCUCA,5,6,6,6,5,6,11,11,13,20.312,20.413,20.519,20.857,21.197,21.570,21.969,8,7,7,7,8,7,7,7,7
293280 UTINGA,4,6,6,6,6,4,8,8,8,19.330,19.256,19.178,18.933,18.687,18.417,18.127,9,8,8,8,7,4,4,4,4
293290 VALENCA,12,18,16,17,21,21,41,42,43,97.873,97.233,96.562,94.419,92.261,89.895,87.370,33,32,16,17,19,18,23,24,24
293300 VALENTE,-,1,1,1,2,2,14,15,15,29.111,28.800,28.473,27.433,26.384,25.235,24.007,1,1,1,1,3,3,9,10,10
293305 VARZEA DA ROCA,1,5,6,7,6,7,13,13,13,14.135,14.121,14.104,14.052,13.999,13.941,13.881,2,5,5,6,6,6,6,6,6
293310 VARZEA DO POCO,1,3,3,3,3,3,5,5,5,9.247,9.210,9.170,9.046,8.920,8.782,8.635,1,3,3,4,3,3,3,3,3
293315 VARZEA NOVA,1,2,4,4,6,6,9,9,9,12.556,12.625,12.697,12.925,13.156,13.408,13.679,5,4,5,4,7,7,8,8,8
293317 VARZEDO,3,3,5,5,6,6,11,11,11,8.734,8.785,8.838,9.009,9.181,9.371,9.572,5,3,4,4,5,5,5,5,5
293320 VERA CRUZ,11,11,12,12,14,14,24,24,25,44.185,43.716,43.223,41.652,40.069,38.333,36.481,11,12,12,12,12,12,12,12,13
293325 VEREDA,2,3,3,3,4,4,7,7,7,6.105,6.153,6.205,6.367,6.531,6.710,6.902,2,3,3,3,3,3,3,3,3
293330 VITORIA DA CONQUISTA,42,53,53,59,58,65,105,111,112,343.643,341.128,338.480,330.056,321.563,312.250,302.315,34,36,39,43,45,45,45,47,48
293340 WAGNER,3,3,3,5,5,5,8,9,9,9.342,9.344,9.345,9.350,9.354,9.360,9.365,3,3,3,4,4,4,4,4,4
293345 WANDERLEY,2,1,1,-,-,-,2,2,2,12.125,12.180,12.238,12.423,12.610,12.814,13.032,2,1,2,1,1,1,1,1,1
293350 WENCESLAU GUIMARAES,11,12,12,12,12,12,-,-,-,20.862,20.978,21.101,21.490,21.882,22.313,22.772,8,9,9,8,8,8,-,-,-
293360 XIQUE-XIQUE,8,11,15,17,14,15,28,24,24,46.562,46.523,46.483,46.355,46.226,46.084,45.934,6,8,10,11,12,13,13,12,12
