Município,Equipes Abril/2007,Equipes Abril/2010,Equipes Abril/2013,Equipes Abril/2016,Equipes Abril/2019,Equipes Abril/2020,Equipes Abril/2021,Equipes Abril/2022,Equipes Abril/2023,população 2021,população 2020,população 2019,população 2016,população 2013,população 2010,população 2007,Qtd de UBS 2007,Qtd de UBS 2010,Qtd de UBS 2013,Qtd de UBS 2016,Qtd de UBS 2019,Qtd de UBS 2020,Qtd de UBS 2021,Qtd de UBS 2022,Qtd de UBS 2023
291960 MACAJUBA,3,4,4,4,4,4,8,8,8,11.318,11.332,11.348,11.396,11.445,11.498,11.554,2,3,3,3,3,3,3,3,3
291970 MACARANI,2,5,6,6,6,6,10,11,11,19.056,18.909,18.755,18.263,17.767,17.224,16.643,3,5,6,6,6,6,6,6,6
291980 MACAUBAS,-,10,16,16,19,19,25,24,25,50.481,50.161,49.826,48.757,47.679,46.499,45.237,17,7,8,11,15,15,16,15,15
291990 MACURURE,-,5,5,5,5,5,9,9,9,7.752,7.787,7.824,7.940,8.056,8.185,8.322,6,9,8,7,4,4,4,4,4
291992 MADRE DE DEUS,5,5,6,6,7,7,13,13,13,21.754,21.432,21.093,20.012,18.924,17.730,16.456,5,5,5,5,6,6,6,6,6
291995 MAETINGA,4,4,6,6,6,6,9,9,9,2.386,2.764,3.161,4.426,5.698,7.094,8.583,5,5,5,5,6,6,6,5,6
292000 MAIQUINIQUE,-,2,2,3,3,3,5,6,5,10.294,10.206,10.112,9.815,9.516,9.188,8.838,2,2,2,3,3,3,3,3,4
292010 MAIRI,3,7,7,8,8,9,16,16,16,18.535,18.602,18.676,18.910,19.145,19.403,19.677,5,6,6,6,6,7,8,8,8
292020 MALHADA,3,4,5,6,6,5,10,10,10,16.875,16.861,16.845,16.797,16.748,16.695,16.637,5,4,5,5,5,5,5,5,5
292030 MALHADA DE PEDRAS,3,3,5,5,5,5,7,7,7,8.326,8.359,8.393,8.504,8.615,8.738,8.868,3,3,5,5,5,5,6,5,5
292040 MANOEL VITORINO,1,5,5,5,6,5,9,9,9,12.944,13.087,13.240,13.721,14.207,14.739,15.307,3,5,5,5,5,5,5,5,5
292045 MANSIDAO,-,2,3,4,5,6,9,10,10,13.822,13.734,13.643,13.350,13.054,12.731,12.385,1,2,3,4,5,6,6,6,6
292050 MARACAS,-,8,8,8,8,8,13,14,14,19.973,20.393,20.834,22.238,23.653,25.204,26.860,3,6,6,7,7,7,7,7,7
292060 MARAGOGIPE,2,9,14,14,15,15,26,26,26,44.902,44.793,44.677,44.309,43.937,43.530,43.097,3,9,12,14,14,14,14,14,14
292070 MARAU,3,8,8,8,8,7,-,1,16,20.664,20.617,20.570,20.415,20.260,20.089,19.908,5,8,8,9,9,8,-,1,10
292080 MARCIONILIO SOUZA,3,5,5,5,5,5,7,10,10,10.357,10.380,10.406,10.490,10.573,10.665,10.762,5,5,5,5,5,5,5,6,6
292090 MASCOTE,6,6,3,7,7,8,14,14,14,13.619,13.717,13.822,14.155,14.490,14.858,15.251,6,6,6,6,7,7,7,7,8
292100 MATA DE SAO JOAO,6,11,13,16,16,16,30,30,32,47.643,47.126,46.583,44.853,43.110,41.198,39.158,12,12,13,15,15,15,15,15,16
292105 MATINA,4,4,4,5,5,5,8,8,8,12.359,12.283,12.201,11.943,11.684,11.399,11.094,4,5,7,7,7,5,5,5,5
292110 MEDEIROS NETO,9,9,10,10,10,10,17,17,17,22.741,22.716,22.688,22.603,22.514,22.418,22.316,9,9,9,9,9,9,10,10,10
292120 MIGUEL CALMON,7,7,9,10,12,12,22,22,22,25.771,25.894,26.023,26.437,26.851,27.307,27.794,6,7,8,8,9,9,10,10,10
292130 MILAGRES,-,4,3,4,4,5,9,9,9,10.838,10.893,10.950,11.131,11.314,11.513,11.726,1,4,5,5,4,4,4,4,4
292140 MIRANGABA,5,6,7,8,8,8,14,13,13,18.603,18.474,18.338,17.905,17.468,16.988,16.478,5,6,7,9,9,9,9,9,9
292145 MIRANTE,4,4,5,5,6,6,11,11,11,8.264,8.447,8.641,9.258,9.878,10.559,11.286,4,4,4,4,5,5,5,5,5
292150 MONTE SANTO,7,18,19,19,21,21,28,28,28,49.145,49.278,49.418,49.864,50.315,50.808,51.334,6,15,20,13,17,17,17,21,21
292160 MORPARA,1,1,1,2,2,3,5,5,5,8.476,8.497,8.519,8.589,8.660,8.738,8.821,1,1,1,2,3,3,3,3,3
292170 MORRO DO CHAPEU,-,8,13,16,17,17,33,38,35,35.466,35.440,35.413,35.325,35.240,35.143,35.042,5,9,12,14,14,14,16,21,20
292180 MORTUGABA,4,5,6,7,7,7,12,12,12,12.063,12.052,12.042,12.008,11.973,11.933,11.893,5,6,6,5,6,6,7,7,6
292190 MUCUGE,-,4,5,5,6,6,10,11,11,8.725,8.889,9.062,9.613,10.170,10.779,11.428,4,4,5,5,6,6,6,6,6
292200 MUCURI,4,11,14,14,16,16,27,27,27,42.729,42.251,41.748,40.146,38.531,36.760,34.871,13,14,13,13,14,14,14,14,15
292205 MULUNGU DO MORRO,2,4,4,5,5,5,9,10,9,10.469,10.673,10.889,11.575,12.265,13.024,13.832,1,3,3,3,5,5,6,5,4
292210 MUNDO NOVO,-,6,4,7,8,7,14,14,17,27.153,26.970,26.776,26.162,25.544,24.863,24.140,5,7,6,6,6,6,6,6,6
292220 MUNIZ FERREIRA,-,3,3,4,4,4,6,7,7,7.464,7.443,7.422,7.354,7.284,7.208,7.129,1,3,3,3,4,3,3,4,4
292225 MUQUEM DE SAO FRANCISCO,3,3,2,4,5,5,9,9,9,11.479,11.417,11.348,11.137,10.922,10.688,10.437,4,3,3,4,4,4,4,4,4
292230 MURITIBA,4,9,10,10,10,10,13,15,15,29.420,29.410,29.399,29.364,29.329,29.290,29.248,9,10,9,9,9,9,9,9,9
292240 MUTUIPE,6,6,6,6,7,7,13,14,14,22.340,22.282,22.221,22.026,21.830,21.616,21.387,5,6,6,6,6,7,8,8,7
292250 NAZARE,4,10,10,10,12,12,12,23,24,28.661,28.594,28.525,28.301,28.076,27.829,27.565,6,12,11,10,12,12,11,11,12
292260 NILO PECANHA,-,5,5,5,5,5,8,9,9,14.156,14.079,13.997,13.742,13.483,13.199,12.894,5,5,6,6,6,6,6,5,5
292265 NORDESTINA,4,5,6,6,6,7,12,12,12,13.197,13.164,13.130,13.023,12.915,12.796,12.669,5,6,6,6,6,6,6,7,8
292270 NOVA CANAA,-,6,6,8,9,9,16,15,15,16.482,16.472,16.462,16.430,16.398,16.363,16.326,6,7,7,9,9,9,9,10,10
292273 NOVA FATIMA,-,3,3,3,3,3,7,7,7,7.830,7.821,7.812,7.781,7.751,7.718,7.682,4,4,3,3,3,4,4,4,4
292275 NOVA IBIA,-,3,4,4,4,3,6,6,6,6.518,6.554,6.591,6.711,6.834,6.966,7.108,1,4,3,3,4,4,4,3,3
292280 NOVA ITARANA,-,3,3,3,3,4,8,8,8,8.328,8.279,8.226,8.060,7.893,7.708,7.512,3,3,4,3,5,5,5,6,6
292285 NOVA REDENCAO,1,2,3,3,4,4,6,6,7,9.126,9.123,9.118,9.107,9.092,9.080,9.064,2,2,3,3,4,4,4,4,5
292290 NOVA SOURE,4,6,5,6,8,10,18,18,20,27.047,26.998,26.947,26.784,26.619,26.439,26.247,4,7,8,7,8,9,9,9,9
292300 NOVA VICOSA,-,11,13,14,8,14,24,25,25,44.170,43.783,43.376,42.080,40.774,39.342,37.814,11,12,13,12,8,12,12,12,12
292303 NOVO HORIZONTE,3,3,4,4,6,7,10,12,12,12.653,12.522,12.385,11.947,11.505,11.022,10.506,3,4,5,5,5,6,6,6,6
292305 NOVO TRIUNFO,-,1,1,2,2,2,3,4,4,15.445,15.443,15.440,15.431,15.423,15.413,15.403,1,1,1,1,1,1,1,1,1
292310 OLINDINA,-,1,-,-,7,7,10,13,15,28.373,28.304,28.229,27.991,27.754,27.491,27.210,6,1,1,1,8,8,8,8,7
292320 OLIVEIRA DOS BREJINHOS,5,4,6,6,8,8,15,17,17,21.797,21.810,21.825,21.869,21.913,21.963,22.015,5,4,6,6,7,7,8,10,9
292330 OURICANGAS,2,3,3,4,4,4,7,7,7,8.575,8.570,8.564,8.546,8.529,8.510,8.489,2,5,5,4,5,5,5,5,5
292335 OUROLANDIA,3,6,7,8,8,8,12,13,13,17.567,17.511,17.451,17.261,17.069,16.859,16.635,6,5,6,7,8,8,8,8,8
292340 PALMAS DE MONTE ALTO,2,4,4,4,5,6,20,19,18,21.840,21.796,21.750,21.605,21.458,21.297,21.125,2,3,4,3,3,4,9,9,9
292350 PALMEIRAS,2,3,3,4,4,4,6,6,6,9.123,9.071,9.019,8.847,8.674,8.485,8.284,3,3,3,4,5,5,5,5,5
292360 PARAMIRIM,8,9,11,11,10,10,18,21,22,21.777,21.695,21.607,21.333,21.055,20.752,20.427,4,8,10,11,13,12,12,12,12
292370 PARATINGA,2,1,4,5,7,7,9,9,11,32.274,32.141,32.000,31.554,31.104,30.609,30.083,3,1,3,5,6,6,6,8,8
292380 PARIPIRANGA,-,4,7,9,2,2,4,4,15,29.124,29.058,28.989,28.770,28.549,28.304,28.046,1,1,3,6,2,2,2,3,11
292390 PAU BRASIL,-,3,3,4,4,4,5,5,4,9.550,9.686,9.831,10.286,10.747,11.253,11.792,1,1,1,2,2,2,2,2,2
292400 PAULO AFONSO,-,26,29,29,29,30,59,59,59,119.213,118.516,117.782,115.447,113.096,110.515,107.763,19,24,27,27,26,27,29,29,29
292405 PE DE SERRA,-,5,6,6,5,5,10,10,11,13.535,13.556,13.578,13.649,13.719,13.798,13.881,1,5,6,6,6,6,6,6,7
292410 PEDRAO,-,3,3,3,3,3,7,7,7,7.438,7.394,7.347,7.200,7.050,6.886,6.712,2,3,5,5,3,3,3,3,3
292420 PEDRO ALEXANDRE,-,4,4,5,5,5,6,7,10,16.698,16.682,16.667,16.618,16.567,16.515,16.456,1,4,4,4,4,4,4,5,7
292430 PIATA,5,6,6,6,6,6,-,-,-,16.854,16.984,17.123,17.567,18.013,18.502,19.024,4,6,6,6,6,6,-,-,-
292440 PILAO ARCADO,-,3,3,4,4,4,4,4,4,35.295,35.175,35.048,34.644,34.239,33.793,33.318,1,1,1,2,2,2,2,2,2
292450 PINDAI,4,5,5,5,7,7,11,13,14,16.308,16.285,16.260,16.183,16.105,16.020,15.928,6,7,5,5,6,6,7,8,9
292460 PINDOBACU,-,5,6,8,8,8,15,14,16,20.048,20.098,20.150,20.317,20.486,20.670,20.867,2,4,6,8,8,8,10,9,11
292465 PINTADAS,4,4,3,3,3,3,6,6,8,10.353,10.394,10.437,10.575,10.713,10.867,11.029,4,4,3,3,3,3,3,3,4
292467 PIRAI DO NORTE,3,4,3,4,4,4,6,6,8,10.050,10.036,10.023,9.977,9.932,9.883,9.830,3,4,4,4,4,4,4,5,6
292470 PIRIPA,3,6,7,7,7,7,10,11,11,10.253,10.475,10.707,11.449,12.197,13.017,13.892,4,7,7,6,6,6,7,7,7
292480 PIRITIBA,-,6,6,6,8,7,13,13,13,25.162,24.964,24.755,24.093,23.422,22.690,21.907,4,8,7,6,7,7,8,8,8
292490 PLANALTINO,-,6,6,6,6,6,10,10,10,9.415,9.370,9.322,9.169,9.016,8.846,8.667,4,5,5,5,5,5,5,5,5
292500 PLANALTO,5,8,9,11,11,11,14,16,16,26.581,26.426,26.265,25.745,25.222,24.650,24.036,5,7,7,11,10,10,10,11,10
292510 POCOES,1,9,11,14,18,18,29,29,31,46.885,46.879,46.871,46.844,46.819,46.789,46.759,5,8,10,10,12,12,13,12,13
292520 POJUCA,-,12,13,13,13,13,21,20,22,40.401,39.972,39.519,38.078,36.626,35.035,33.336,7,14,12,12,12,12,13,13,13
292525 PONTO NOVO,-,5,6,7,8,8,14,15,16,14.729,14.819,14.914,15.213,15.514,15.845,16.200,4,5,6,11,8,8,9,9,9
292530 PORTO SEGURO,32,41,42,43,45,45,79,79,75,152.529,150.658,148.686,142.416,136.094,129.161,121.764,37,39,38,38,41,41,43,43,42
292540 POTIRAGUA,3,4,3,5,5,5,8,8,8,6.623,6.916,7.224,8.207,9.196,10.282,11.441,5,5,4,5,5,5,5,5,5
292550 PRADO,-,12,12,12,14,14,30,28,26,28.214,28.194,28.174,28.108,28.043,27.972,27.895,13,12,13,11,12,12,12,12,12
292560 PRESIDENTE DUTRA,3,5,7,7,7,7,13,13,13,15.180,15.160,15.142,15.076,15.013,14.941,14.865,2,4,6,7,7,7,7,7,6
292570 PRESIDENTE JANIO QUADROS,1,5,8,8,8,8,13,14,14,12.028,12.179,12.338,12.843,13.353,13.912,14.511,6,6,8,7,8,8,8,8,8
292575 PRESIDENTE TANCREDO NEVES,5,7,8,8,8,9,17,17,17,28.272,28.004,27.719,26.816,25.905,24.907,23.841,5,7,8,8,8,9,9,9,9
292580 QUEIMADAS,2,7,8,9,7,9,13,14,12,25.428,25.433,25.439,25.457,25.475,25.496,25.517,1,6,6,7,6,7,8,8,8
292590 QUIJINGUE,-,9,9,10,10,10,14,14,17,27.672,27.626,27.580,27.431,27.281,27.116,26.940,8,9,9,9,10,11,11,10,11
292593 QUIXABEIRA,2,2,2,3,5,5,9,9,9,8.939,8.956,8.972,9.028,9.084,9.145,9.211,1,1,2,2,6,6,5,4,4
292595 RAFAEL JAMBEIRO,7,10,10,10,10,10,19,21,21,22.643,22.633,22.621,22.586,22.550,22.511,22.470,6,8,8,8,9,9,9,10,10
292600 REMANSO,-,4,5,5,5,7,11,11,15,41.324,41.170,41.008,40.492,39.972,39.402,38.793,9,2,3,3,3,3,3,3,4
292610 RETIROLANDIA,-,4,4,4,5,5,10,12,13,14.588,14.495,14.396,14.085,13.772,13.428,13.061,3,4,4,5,6,6,6,7,7
292620 RIACHAO DAS NEVES,5,5,7,9,10,10,17,17,17,22.330,22.334,22.339,22.353,22.368,22.384,22.401,3,4,6,8,8,8,8,8,8
292630 RIACHAO DO JACUIPE,-,10,12,12,11,11,18,22,23,33.498,33.468,33.436,33.335,33.235,33.123,33.006,7,9,11,11,11,11,11,13,13
292640 RIACHO DE SANTANA,4,7,10,12,12,13,24,23,23,35.757,35.593,35.421,34.870,34.314,33.706,33.058,3,6,9,10,10,11,13,13,12
292650 RIBEIRA DO AMPARO,6,1,1,2,1,1,2,2,2,14.631,14.612,14.592,14.524,14.458,14.385,14.307,6,1,1,2,1,1,1,1,1
292660 RIBEIRA DO POMBAL,12,4,4,18,19,20,36,36,35,54.097,53.956,53.807,53.335,52.859,52.338,51.782,11,2,2,15,15,25,29,29,29
292665 RIBEIRAO DO LARGO,3,5,5,6,6,6,7,7,7,4.896,5.343,5.812,7.308,8.816,10.469,12.233,4,5,5,5,5,5,5,5,5
292670 RIO DE CONTAS,4,4,5,6,7,7,13,13,13,12.878,12.932,12.989,13.168,13.349,13.548,13.761,6,6,7,7,8,8,8,8,8
292680 RIO DO ANTONIO,3,3,5,5,5,5,9,10,10,15.521,15.448,15.371,15.125,14.876,14.603,14.313,4,3,6,6,6,6,7,7,7
292690 RIO DO PIRES,3,5,5,6,7,7,12,12,12,11.672,11.663,11.655,11.627,11.598,11.567,11.534,3,5,5,6,6,6,6,6,6
